,caudalie,dermalogica,origins,biossance,algenist,farmacy,skinfix,tatcha,korres,drunk_elephant
caudalie,0.0,2.0952380952380953,1.0,1.0,1.0,1.7959183673469388,1.0,4.190476190476191,1.0,1.0
dermalogica,2.0952380952380953,0.0,1.0,1.0,1.0,2.0952380952380953,1.0,4.888888888888889,1.0,1.0
origins,1.0,1.0,0.0,1.0,7.333333333333333,1.0,1.0,1.0,1.0,1.0
biossance,1.0,1.0,1.0,0.0,1.0,3.5918367346938775,1.0,1.0,1.0,1.0
algenist,1.0,1.0,7.333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0
farmacy,1.7959183673469388,2.0952380952380953,1.0,3.5918367346938775,1.0,0.0,2.5142857142857142,4.190476190476191,1.0,1.0
skinfix,1.0,1.0,1.0,1.0,1.0,2.5142857142857142,0.0,1.0,1.0,1.0
tatcha,4.190476190476191,4.888888888888889,1.0,1.0,1.0,4.190476190476191,1.0,0.0,1.0,1.0
korres,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
drunk_elephant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
